timestamp, linaccelx, linaccely, linaccelz, gyrox, gryoy, gyroz, magnx, magny, magnz, roll, pitch, yaw, tempbno, tempbmp, pressure
660508464, 0.23999999463558197, -1.159999966621399, -0.5199999809265137, -6.375, 22.5625, -37.0, -0.32070425152778625, 0.5519603490829468, 0.018544122576713562, 15.8125, 0.4375, 8.1875, 25, 23.909359617259966, 100558.44754876944
660544964, -0.7900000214576721, -1.1399999856948853, -0.4300000071525574, -6.75, 23.25, -35.5, 0.13962633907794952, 0.33161255717277527, -0.2454369217157364, 16.25, -0.5, 8.25, 25, 23.90907241233755, 100558.27128417269
660554739, -0.800000011920929, -0.9399999976158142, -0.27000001072883606, -6.75, 23.25, -35.5, 0.21162116527557373, 0.15707963705062866, -0.2934334874153137, 16.4375, -0.5625, 8.125, 25, 23.90907241233755, 100558.27128417269
660591271, -0.029999999329447746, -0.2800000011920929, -0.07999999821186066, -6.375, 24.0625, -36.6875, 0.3272492289543152, -0.26398104429244995, -0.33597588539123535, 17.25, -0.0625, 7.4375, 25, 23.90907241233755, 100558.27128417269
660607560, 0.75, -0.05999999865889549, 0.0, -6.375, 24.0625, -36.6875, 0.32615840435028076, -0.3174317479133606, -0.4046982228755951, 17.4375, 0.0625, 7.25, 25, 23.90907241233755, 100558.27128417269
660644087, 1.100000023841858, 0.10000000149011612, -0.27000001072883606, -6.375, 23.0, -36.1875, 0.439604789018631, 0.04254240170121193, -0.5770494937896729, 18.8125, 0.4375, 6.375, 25, 23.90907241233755, 100558.27128417269
660658999, 0.8500000238418579, 0.23000000417232513, -0.23999999463558197, -6.375, 23.0, -36.1875, 0.4668755829334259, 0.1079922467470169, -0.5901394486427307, 19.125, 0.4375, 6.125, 25, 23.90907241233755, 100558.27128417269
660695509, -0.009999999776482582, 0.6299999952316284, -0.10000000149011612, -8.5625, 20.875, -37.25, 0.4145157039165497, 0.14726215600967407, -0.5530511736869812, 20.875, 0.1875, 5.125, 25, 23.912931727418485, 100558.15316365568
660705213, -0.23000000417232513, 0.75, -0.019999999552965164, -8.5625, 20.875, -37.25, 0.37088245153427124, 0.09381144493818283, -0.5530511736869812, 21.1875, 0.1875, 4.9375, 25, 23.912931727418485, 100558.15316365568
660741716, -0.36000001430511475, 0.8500000238418579, 0.4000000059604645, -7.0625, 20.1875, -37.6875, 0.17562375962734222, -0.10908307880163193, -0.6185010671615601, 22.625, 0.4375, 4.4375, 25, 23.912931727418485, 100558.15316365568
660757970, -0.25999999046325684, 0.7900000214576721, -0.009999999776482582, -7.0625, 20.1875, -37.6875, 0.11017391085624695, -0.19198621809482574, -0.6795875430107117, 23.0, 0.5625, 4.375, 25, 23.912931727418485, 100558.15316365568
660794475, -0.33000001311302185, 0.75, 1.559999942779541, -9.0625, 18.0, -36.5625, -0.2050761878490448, -0.28361600637435913, -0.8235772252082825, 25.125, 1.3125, 4.5625, 25, 23.912931727418485, 100558.15316365568
660809377, -0.36000001430511475, 0.03999999910593033, 1.3200000524520874, -9.0625, 18.0, -36.5625, -0.25307273864746094, -0.2759801745414734, -0.8726646304130554, 25.625, 1.5, 4.6875, 25, 23.912931727418485, 100558.15316365568
660845909, -0.23000000417232513, -0.029999999329447746, 1.149999976158142, -7.1875, 19.0, -35.875, -0.11126473546028137, -0.3239767253398895, -1.0286533832550049, 27.75, 2.375, 4.9375, 25, 23.9183527149516, 100557.67383229079
660855519, -0.17000000178813934, 0.05999999865889549, 1.0800000429153442, -7.1875, 19.0, -35.875, -0.10908307880163193, -0.31525009870529175, -1.0199267864227295, 28.3125, 2.5625, 5.0, 25, 23.9183527149516, 100557.67383229079
