#timestamp x y z qx qy qz qw
1730833493.028873 13.786166 1.576265 1.161940 -0.607594 0.793006 0.040588 -0.018006
1730833494.045220 13.777366 1.571632 1.164954 -0.557373 0.829844 0.024287 -0.010213
1730833495.078230 13.529908 1.442697 1.164726 -0.591002 0.804245 0.058407 -0.022272
1730833496.177885 13.440349 1.223539 1.152013 -0.617390 0.783890 0.057480 -0.032292
1730833497.210894 13.271698 1.081330 1.150522 -0.695699 0.716546 0.029611 -0.041088
1730833498.243903 13.253534 1.004095 1.152947 0.786430 -0.611776 -0.057955 0.062447
1730833499.260251 13.207751 0.988597 1.147638 0.758393 -0.650980 -0.021266 0.024766
1730833501.309608 13.183575 0.973090 1.150213 0.723813 -0.689038 -0.036355 -0.000151
1730833504.491942 13.174870 0.971596 1.143657 0.751713 -0.658060 -0.043404 0.000311
1730833508.573994 13.175549 0.973192 1.135174 0.731402 -0.681535 -0.023667 -0.000521
1730833520.003738 13.198677 1.012196 1.143699 0.713854 -0.700113 -0.011532 0.011023
1730833535.515528 13.185065 1.030504 1.147042 -0.696004 0.717947 -0.011130 -0.002372
1730833537.564884 13.153669 1.050702 1.141075 -0.643869 0.764807 -0.012797 0.018415
1730833538.581232 13.146337 1.064892 1.129154 -0.681068 0.731903 -0.020473 -0.006733
1730833539.597579 13.086669 0.986421 1.133261 0.763407 -0.645686 -0.007459 0.015611
1730833540.613926 13.030085 0.919131 1.136436 0.798787 -0.601605 0.000326 0.003383
1730833541.630273 13.014551 1.000586 1.142566 -0.666483 0.741204 0.063254 0.049163
1730833542.646620 13.036191 1.184392 1.167036 -0.677700 0.734938 0.020428 0.013129
1730833543.662966 12.841388 1.148213 1.161844 0.782577 -0.622376 -0.013699 -0.005822
1730833544.679313 12.810793 1.100089 1.155405 0.806746 -0.590146 -0.024350 -0.017203
1730833545.712322 12.829935 1.099842 1.154244 0.903633 -0.427842 -0.009220 0.017694
1730833546.745330 12.855557 1.079036 1.140845 0.938810 -0.342085 -0.025690 -0.030885
1730833547.844984 12.858248 1.094725 1.146494 0.951374 -0.307929 0.003862 0.007173
1730833556.109049 12.854909 1.096563 1.149217 0.939978 -0.341086 0.009314 0.003758
1730833557.125396 12.860895 1.087208 1.147547 0.948257 -0.317306 0.009676 0.005691
1730833558.158404 12.848650 1.082491 1.151620 0.956963 -0.289787 -0.011370 0.010744
1730833562.240452 12.826397 1.099972 1.148258 0.948750 -0.315440 0.001830 0.019185
1730833564.289807 12.822595 1.111125 1.148377 0.934980 -0.354485 0.008876 -0.008639
1730833565.406122 12.840317 1.121289 1.145908 0.950343 -0.310805 -0.013757 0.007740
1730833568.471823 12.857200 1.138625 1.165519 0.920232 -0.390927 -0.015946 0.009756
1730833569.488170 13.000815 1.187956 1.165200 0.879187 -0.476235 0.004860 -0.014409
1730833570.504517 13.020686 1.131941 1.173187 0.905374 -0.420928 -0.039339 0.039615
1730833571.520864 13.011156 1.134265 1.175528 0.886284 -0.461992 -0.022729 0.023409
1730833573.570218 12.976443 1.191378 1.173389 0.892668 -0.450260 -0.010290 0.017404
1730833576.719226 13.012451 1.143740 1.166274 0.900093 -0.433746 -0.037276 0.017518
1730833578.851887 13.014455 1.147045 1.170539 0.915356 -0.401201 -0.030462 0.015283
1730833584.066910 12.971016 1.163743 1.164202 0.875771 -0.482412 -0.000195 0.017410
1730833585.083256 12.904398 1.091169 1.161284 0.888072 -0.459473 0.011905 0.008463
1730833589.265271 12.941023 1.076461 1.164266 0.903316 -0.428943 -0.000305 0.005312
1730833593.447286 12.949320 1.100654 1.161859 0.926574 -0.376030 -0.007412 0.002532
1730833598.728954 12.995783 1.072764 1.170542 0.923618 -0.381849 -0.033210 -0.004376
1730833602.827661 12.972773 1.120943 1.170212 0.915152 -0.403084 -0.001701 -0.004195
1730833612.191374 12.983425 1.120862 1.161553 0.921604 -0.386790 -0.032198 0.001591
1730833621.588408 13.057601 1.183199 1.165515 0.816063 -0.577597 -0.020385 -0.002890
1730833622.604753 12.949846 1.196132 1.167738 0.863541 -0.502193 -0.040102 0.022159
1730833623.621099 13.128160 1.158137 1.160455 0.880752 -0.472987 0.005039 -0.023111
1730833624.654106 13.491038 0.898473 1.150595 0.895844 -0.443029 -0.017508 -0.029705
1730833625.670452 13.934753 0.662255 1.139423 0.793811 -0.605572 0.016290 -0.053684
1730833626.686798 14.255044 0.221817 1.115465 -0.657674 0.751900 -0.039231 0.023925
1730833627.703143 14.329796 -0.275851 1.106498 -0.555631 0.831117 -0.017506 -0.014543
1730833628.719489 14.268356 -0.819321 1.066167 -0.388639 0.918948 -0.062337 -0.024670
1730833629.752496 13.919704 -1.323481 1.002138 -0.340994 0.939383 -0.016810 -0.031632
1730833630.852149 13.460801 -1.811878 0.964059 -0.320759 0.946907 -0.000982 -0.021897
1730833631.885156 13.114448 -2.325281 0.871804 -0.365149 0.929738 -0.046294 0.010461
1730833633.001470 12.775796 -2.884536 0.853762 -0.313947 0.948868 -0.032405 -0.006006
1730833634.117784 12.366673 -3.431877 0.789544 -0.322706 0.946077 -0.024955 -0.013274
1730833635.134130 11.974544 -4.028237 0.765758 -0.548573 0.835746 0.022141 0.010306
1730833636.167137 11.837659 -4.711886 0.680209 -0.599950 0.798952 -0.014509 -0.039068
1730833637.183482 11.734692 -5.415446 0.637266 -0.600590 0.799328 0.016457 -0.009785
1730833638.216489 11.555971 -6.087472 0.569012 -0.652151 0.756619 -0.045502 0.012552
1730833639.232835 11.577615 -6.759667 0.506934 0.748541 -0.660632 -0.003649 0.056907
1730833640.249181 11.639677 -7.430772 0.467918 0.899270 -0.436508 0.010405 -0.025792
1730833641.265525 11.737915 -8.051369 0.415129 0.886063 -0.462708 -0.027141 -0.007571
1730833642.298533 11.968142 -8.709914 0.340119 0.831864 -0.554947 -0.002472 -0.005550
1730833643.314878 12.181930 -9.338934 0.309122 0.758518 -0.651479 0.014936 -0.001349
1730833644.331224 12.243721 -9.983732 0.254436 0.711043 -0.702956 -0.001660 -0.016339
1730833645.364231 12.446898 -10.612004 0.179348 0.735374 -0.675331 -0.031944 -0.046184
1730833646.397238 12.676180 -11.170482 0.149604 0.747387 -0.661076 -0.043949 -0.049595
1730833647.480229 12.859705 -11.774216 0.108196 0.820269 -0.568233 -0.053066 -0.038148
1730833648.563220 13.253936 -12.300396 0.049819 0.954924 -0.289404 -0.065989 -0.003266
1730833649.579566 13.689060 -12.671911 0.008856 0.977213 -0.201219 -0.066883 -0.009644
1730833650.595911 14.156617 -13.037101 -0.026153 0.994931 -0.050393 -0.071442 0.049695
1730833651.628917 14.621823 -13.379341 -0.100391 0.970217 -0.237780 -0.031865 -0.033540
1730833652.645262 15.218287 -13.703901 -0.135253 0.925968 -0.369383 -0.051631 -0.058935
1730833653.678269 15.717708 -14.017017 -0.179710 0.932198 -0.358731 -0.048136 -0.001031
1730833654.711276 16.281433 -14.286574 -0.249112 0.968686 -0.246582 0.019032 -0.021994
1730833655.827589 16.934885 -14.499766 -0.289343 0.998483 -0.040253 0.032993 -0.017988
1730833656.927242 17.535984 -14.767046 -0.363912 0.996689 -0.070320 -0.034269 -0.022171
1730833657.943587 18.096481 -14.855654 -0.411313 0.986346 -0.160779 -0.034979 -0.006877
1730833658.959932 18.700695 -14.883214 -0.454689 0.974198 -0.213308 -0.061915 -0.040067
1730833659.992939 19.255835 -14.995117 -0.489771 0.994543 -0.077145 -0.068906 -0.013589
1730833661.025945 19.854662 -14.960447 -0.553181 0.995089 -0.094693 -0.025208 -0.013954
1730833662.058952 20.564672 -14.853881 -0.584458 0.995753 0.082033 -0.035502 -0.022072
1730833663.091959 21.194626 -14.831140 -0.635120 0.971364 0.234623 -0.037468 -0.000294
1730833664.124965 21.760252 -14.662437 -0.705898 0.996756 0.038491 -0.054663 -0.044812
1730833665.157971 22.325817 -14.412210 -0.724183 0.994160 0.082275 -0.069771 -0.002996
1730833666.257623 22.954384 -14.244113 -0.777825 0.996955 0.066722 -0.034301 -0.021291
1730833667.273968 23.463173 -14.025773 -0.832078 0.994161 0.098314 -0.023198 -0.037947
1730833668.306975 23.976414 -13.689369 -0.866193 0.987045 0.148657 -0.021853 -0.056260
1730833669.323320 24.567797 -13.384953 -0.905954 0.903720 0.424320 -0.056161 0.009419
1730833670.356327 25.145046 -12.917144 -0.967625 0.838008 0.542309 -0.058522 0.014787
1730833671.455979 25.565863 -12.390355 -1.014182 0.947713 0.304835 -0.075277 -0.057008
1730833672.488986 25.986746 -11.893207 -1.076749 0.949096 0.312143 -0.038866 -0.016514
1730833673.505331 26.397377 -11.441199 -1.097306 0.906744 0.421447 -0.013820 -0.002639
1730833674.521676 26.665621 -10.843382 -1.158497 0.888803 0.457327 -0.029664 -0.001167
1730833675.538021 26.969383 -10.258243 -1.217036 0.882954 0.466449 -0.048195 -0.022246
1730833676.554366 27.317327 -9.626940 -1.253738 0.675452 0.730587 -0.061901 0.078584
1730833677.587373 27.428446 -9.022293 -1.324789 0.385875 0.921020 -0.022277 0.048234
1730833678.603718 27.491119 -8.479925 -1.360834 0.205394 0.978556 -0.015150 0.003574
1730833679.720032 27.626797 -7.858077 -1.414248 0.298052 0.954415 -0.011480 0.011230
1730833680.753039 27.634930 -7.311965 -1.458118 0.707608 0.704439 -0.055282 -0.000581
1730833681.852691 27.625248 -6.551626 -1.512178 0.688532 0.723192 -0.053820 -0.004518
